message,label
24 घंटों के भीतर अपना 50000 रुपये का बीमा बोनस दावा करें www.insurance-bonus.fake,phishing
गूगल वर्षगांठ विजेता! 15 लाख रुपये का पुरस्कार। OTP और CVV के साथ पहचान सत्यापित करें,lottery_scam
Rs.1000 credited to account XX5678 on 20-Jan-24. NEFT from JOHN DOE. Balance: Rs.15000,legitimate
Update KYC by providing your card CVV and OTP. Call 1800-XXX-FAKE,otp_request
DTDC चेतावणी: पार्सल अडकला आहे. डिलिव्हरीसाठी www.dtdc-fake.com वर 250 रुपये शुल्क साफ करा,delivery_scam
UPI मार्फत Uber ला 300 रुपये भरले. ट्रिप ID: AB1234CD5678. भुगतान यशस्वी,legitimate
UPI मार्फत दानासाठी 200 रुपये भरले. व्यवहार ID: 404567890123. धन्यवाद!,legitimate
Insurance premium of Rs.2400 paid successfully. Policy: LIC/12345678,legitimate
इस लिंक पर क्लिक करके अपना मोबाइल नंबर पुष्टि करें: bit.ly/confirm-fake या सेवा बंद हो जाएगी,phishing
Rs.2500 transferred to 9876543210 via PhonePe. UPI Ref: 401234567890,legitimate
करिअर सूचना: www.courier-fake.com वर 150 रुपये पुन्हा डिलिव्हरी शुल्क भरा,delivery_scam
आपका सत्यापन कोड 987654 है। कृपया अपनी पहचान सत्यापित करने के लिए इसे साझा करें,otp_request
तुमच्या Paytm वॉलेटमध्ये 50 रुपये कॅशबॅक जमा केले. एकूण शिल्लक: 550 रुपये,legitimate
Rs.899 paid to Zomato. Order #987654. Payment via UPI successful,legitimate
RBI मार्गदर्शकतेनुसार तुमचे बँक KYC अद्ययावत नाही. आता अद्ययावत करा: www.rbikyc.fake,fake_kyc
पुरस्कार डिलीवरी के लिए सत्यापन की आवश्यकता है। दावा करने के लिए OTP और CVV भेजें,otp_request
Account locked! Share OTP and PIN to unlock within 1 hour,otp_request
डिलिव्हरी बाकी! तुमचा अमेझॉन पॅकेज मिळवण्यासाठी 200 रुपये शुल्क भरा,delivery_scam
Rs.200 donated to charity via UPI. Txn ID: 404567890123. Thank you!,legitimate
Salary credited: Rs.45000 in account XX3456 on 01-Feb-24. From: XYZ COMPANY LTD,legitimate
Swiggy ऑर्डर के लिए 150 रुपये डेबिट किए गए। लेन-देन सफल। शेष: 8500 रुपये,legitimate
You are eligible for income tax refund of Rs.35000. Claim at www.incometax-refund.fake,tax_scam
Google anniversary winner! Rs.15 Lakh prize. Verify identity with OTP and CVV,lottery_scam
तुमच्या मोबाईलवर पाठविलेला 6-अंकी OTP सामायिक करून व्यवहार पुष्टी करा: XXXXXX,otp_request
कूरियर अधिसूचना: www.courier-fake.com पर 150 रुपये की पुनः डिलीवरी शुल्क का भुगतान करें,delivery_scam
"प्रिय विजेता, तुम्ही लक्झरी कार जिंकली आहे! दावा करण्यासाठी 5000 रुपये नोंदणी शुल्क भरा",lottery_scam
तुमचे क्रेडिट कार्ड संपले आहे. तपशील अद्ययावत करा www.updatecard.fake.com लगेच,phishing
आयकर विभाग: 22000 रुपये का रिफंड तैयार है। www.it-dept.fake.gov.in पर सत्यापित करें,tax_scam
Your bank KYC is not updated as per RBI guidelines. Update now: www.rbikyc.fake,fake_kyc
Congratulations! Rs.50000 Amazon gift voucher won. Claim with card details,lottery_scam
आपके पास 30000 रुपये का नहीं मिला कर रिफंड है। आधार के साथ आवेदन करें: www.unclaimed-tax.fake,tax_scam
DTDC Alert: Parcel stuck. Clear Rs.250 fee at www.dtdc-fake.com for delivery,delivery_scam
लकी विजेता चेतावणी! 10 लाख रुपये चा बक्षीस. दावा करण्यासाठी 2000 रुपये प्रक्रिया शुल्क पाठवा,lottery_scam
Congratulations! You've won Rs.5 Lakhs. Claim now at www.fakesite.com/claim with your details,phishing
Prize delivery requires verification. Send OTP and CVV to claim,otp_request
Your account XX9012 has been credited with Rs.5000 on 22-Jan-24. IMPS from JANE SMITH,legitimate
आप iPhone 15 Pro के चयनित विजेता हैं! दावा करने के लिए 500 रुपये की डिलीवरी फीस का भुगतान करें,lottery_scam
पुरस्कार डिलीवरी के लिए सत्यापन की आवश्यकता है। दावा करने के लिए OTP और CVV भेजें,otp_request
You have unclaimed tax refund Rs.30000. Apply: www.unclaimed-tax.fake with Aadhaar,tax_scam
तुमचा सत्यापन कोड 987654 आहे. कृपया तुमची ओळख सत्यापित करण्यासाठी हे सामायिक करा,otp_request
"तुमच्या खात्याच्या सत्यापनासाठी CVV, पिन आणि OTP आवश्यक आहे. लगेच सामायिक करा",otp_request
विमा प्रीमियम 2400 रुपये यशस्वीरित्या भरला. धोरण: LIC/12345678,legitimate
Rs.300 paid to Uber via UPI. Trip ID: AB1234CD5678. Payment successful,legitimate
कल से E-KYC अनिवार्य। दस्तावेज़ प्रस्तुत करें www.mandate-kyc.fake,fake_kyc
"Dear customer, pay Rs.120 delivery fee for pending parcel. COD not available",delivery_scam
लकी विजेता चेतावनी! 10 लाख रुपये का पुरस्कार। दावा करने के लिए 2000 रुपये की प्रसंस्करण शुल्क भेजें,lottery_scam
"Dear assessee, expedite refund Rs.20000 by paying Rs.500 processing fee",tax_scam
लकी विजेता चेतावनी! 10 लाख रुपये का पुरस्कार। दावा करने के लिए 2000 रुपये की प्रसंस्करण शुल्क भेजें,lottery_scam
आपका KYC लंबित है। अब यहां अपडेट करें www.updatekyc-fake.com या खाता निलंबित हो जाएगा,phishing
Rs.200 donated to charity via UPI. Txn ID: 404567890123. Thank you!,legitimate
22-जानेवारी-24 रोजी तुमच्या खात्यात XX9012 मध्ये 5000 रुपये जमा केले आहेत. JANE SMITH कडून IMPS,legitimate
Swiggy ऑर्डरसाठी 150 रुपये डेबिट केले. व्यवहार यशस्वी. शिल्लक: 8500 रुपये,legitimate
NEFT के माध्यम से किरायेदार को 15000 रुपये का भुगतान सफल। संदर्भ: N12345678,legitimate
"प्रिय मूल्यवान ग्राहक, KYC अपडेट लंबित है। सेवाएं जारी रखने के लिए www.customer-kyc.fake पर क्लिक करें",fake_kyc
E-KYC mandatory from tomorrow. Submit documents at www.mandate-kyc.fake,fake_kyc
शेवटची चेतावणी! 1 तासात खाते अवरोधन. लगेचच सत्यापन आवश्यक,blocking_threat
"प्रिय ग्राहक, KYC दस्तावेज़ समाप्त हो गए हैं। PAN, आधार को पुनः प्रस्तुत करें www.ekyc.fake",fake_kyc
बधाई हो! 50000 रुपये का अमेज़ॅन गिफ्ट वाउचर जीता। कार्ड विवरण के साथ दावा करें,lottery_scam
NEFT मार्फत किरायेदाराला 15000 रुपये चे भुगतान यशस्वी. संदर्भ: N12345678,legitimate
Your parcel is held at customs. Pay Rs.500 clearance fee: www.customs-pay.fake,delivery_scam
तुम्ही KBC लॉटरी मध्ये 5 कोटी रुपये जिंकले आहेत! तुमच्या बँक तपशीलांसह लगेच संपर्क साधा,lottery_scam
तुमच्यासाठी 15000 रुपये ची शासकीय सब्सिडी उपलब्ध आहे. अर्ज करा: www.subsidy-fake.gov.in,phishing
आपका TDS रिफंड 15000 रुपये लंबित है। दावा करें: www.tds-refund.fake,tax_scam
चेतावणी: खाते 6 तासांत कायमचे बंद केले जाईल. प्रतिबंधित करा: www.account-close.fake,blocking_threat
सीमित समय की पेशकश! 10000 रुपये कैशबैक प्राप्त करें। यहां पंजीकरण करें www.freemoney.fake.com,phishing
Your bank KYC is not updated as per RBI guidelines. Update now: www.rbikyc.fake,fake_kyc
RBI दिशानिर्देशों के अनुसार आपका बैंक KYC अपडेट नहीं है। अब अपडेट करें: www.rbikyc.fake,fake_kyc
"Dear customer, KYC documents expired. Re-submit PAN, Aadhaar at www.ekyc.fake",fake_kyc
Your credit card is expired. Update details at www.updatecard.fake.com immediately,phishing
UPI के माध्यम से दान 200 रुपये का भुगतान किया गया। लेन-देन आईडी: 404567890123। धन्यवाद!,legitimate
नए KYC नियम: www.newkyc.fake पर PAN और आधार के साथ सेल्फी अपलोड करें,fake_kyc
आपके खाते की गतिविधि संदिग्ध है। कल फ्रीज हो जाएगा। सत्यापित करें: www.freeze-stop.fake,blocking_threat
"OTP, CVV आणि कार्ड क्रमांक द्या आणि तुमची ओळख पुष्टी करा",otp_request
चेतावणी: कोणी तुमच्या खात्यात प्रवेश करण्याचा प्रयत्न करत आहे. आता ते सुरक्षित करा: securebank.fake,phishing
अभिनंदन! तुम्ही लकी ड्रॉ मध्ये 25 लाख रुपये जिंकले आहेत. www.lottery-win.fake वर दावा करा,lottery_scam
Government subsidy of Rs.15000 available for you. Apply: www.subsidy-fake.gov.in,phishing
Rent payment of Rs.15000 to landlord successful via NEFT. Ref: N12345678,legitimate
Amazon Pay को 799 रुपये का भुगतान सफल हुआ। ऑर्डर आईडी: 123-4567890-1234567,legitimate
Enter your ATM PIN and OTP to receive cashback of Rs.500 in your account,otp_request
Swiggy ऑर्डर के लिए 150 रुपये डेबिट किए गए। लेन-देन सफल। शेष: 8500 रुपये,legitimate
Immediate action required! Account suspension in 24 hours. Update at www.save-account.fake,blocking_threat
Service discontinued due to policy violation. Restore at www.restore-service.fake,blocking_threat
Your account activity is suspicious. Will be frozen tomorrow. Verify: www.freeze-stop.fake,blocking_threat
Rs.899 paid to Zomato. Order #987654. Payment via UPI successful,legitimate
Zomato को 899 रुपये का भुगतान किया गया। ऑर्डर #987654। UPI के माध्यम से भुगतान सफल,legitimate
DTDC चेतावणी: पार्सल अडकला आहे. डिलिव्हरीसाठी www.dtdc-fake.com वर 250 रुपये शुल्क साफ करा,delivery_scam
22-जन-24 को आपके खाता XX9012 में 5000 रुपये जमा किए गए हैं। JANE SMITH से IMPS,legitimate
Congratulations! You won Rs.25 Lakh in lucky draw. Claim at www.lottery-win.fake,lottery_scam
तुमचे KYC सत्यापन अपूर्ण आहे. 24 तासांच्या आत इथे अद्ययावत करा www.kyc-update.fake,fake_kyc
बक्षीस वितरणासाठी सत्यापन आवश्यक आहे. दावा करण्यासाठी OTP आणि CVV पाठवा,otp_request
"SMS मार्फत OTP, पिन आणि CVV प्रदान करून आधार दुवा अद्ययावत करा",otp_request
तुमचा वीज बिल भुगतान अयशस्वी झाले. पुन्हा प्रयत्न करा www.billpay.fake.com कार्ड तपशीलांसह,phishing
ITR refund Rs.25000 pending. Process at www.itr-process.fake with PAN details,tax_scam
Rs.300 paid to Uber via UPI. Trip ID: AB1234CD5678. Payment successful,legitimate
बिजली बिल भुगतान के लिए 1200 रुपये डेबिट किए गए। लेन-देन सफल,legitimate
तुम्ही KBC लॉटरी मध्ये 5 कोटी रुपये जिंकले आहेत! तुमच्या बँक तपशीलांसह लगेच संपर्क साधा,lottery_scam
सीमित समय की पेशकश! 10000 रुपये कैशबैक प्राप्त करें। यहां पंजीकरण करें www.freemoney.fake.com,phishing
Limited time offer! Get Rs.10000 cashback. Register at www.freemoney.fake.com,phishing
Amazon Pay को 799 रुपये का भुगतान सफल हुआ। ऑर्डर आईडी: 123-4567890-1234567,legitimate
Rs.2500 transferred to 9876543210 via PhonePe. UPI Ref: 401234567890,legitimate
"OTP, CVV और कार्ड नंबर के साथ उत्तर देकर अपनी पहचान की पुष्टि करें",otp_request
चेतावणी: कोणी तुमच्या खात्यात प्रवेश करण्याचा प्रयत्न करत आहे. आता ते सुरक्षित करा: securebank.fake,phishing
आपका पार्सल कस्टम्स में रोका गया है। 500 रुपये की साफ़-सफाई शुल्क का भुगतान करें: www.customs-pay.fake,delivery_scam
RBI नियम: KYC अद्ययावत करा किंवा 10000 रुपये चा दंड सामना करा. www.penalty-kyc.fake ला भेट द्या,fake_kyc
वीज बिल भुगतानासाठी 1200 रुपये डेबिट केले. व्यवहार यशस्वी,legitimate
असामान्य क्रियाकलाप आढळला. सुरक्षिततेसाठी खाते लॉक केले गेले आहे. अनलॉक करा: www.security-unlock.fake,blocking_threat
"To unblock your account, reply with your CVV number and card expiry date",otp_request
RBI regulation: Update KYC or face Rs.10000 penalty. Visit www.penalty-kyc.fake,fake_kyc
NEFT मार्फत किरायेदाराला 15000 रुपये चे भुगतान यशस्वी. संदर्भ: N12345678,legitimate
Customer care calling: Please share OTP to help you with refund process,otp_request
"तुमच्या खात्याच्या सत्यापनासाठी CVV, पिन आणि OTP आवश्यक आहे. लगेच सामायिक करा",otp_request
"प्रिय असेसी, 500 रुपये की प्रसंस्करण शुल्क का भुगतान करके 20000 रुपये का रिफंड तेज़ करें",tax_scam
"SMS के माध्यम से OTP, पिन और CVV प्रदान करके आधार लिंक अपडेट करें",otp_request
E-KYC mandatory from tomorrow. Submit documents at www.mandate-kyc.fake,fake_kyc
Rs.899 paid to Zomato. Order #987654. Payment via UPI successful,legitimate
हा दुवा क्लिक करून तुमचा मोबाईल नंबर पुष्टी करा: bit.ly/confirm-fake किंवा सेवा बंद होईल,phishing
8765432109 से 2000 रुपये प्राप्त हुए। UPI संदर्भ: 403456789012। शेष: 12000 रुपये,legitimate
01-फर-24 को खाता XX3456 में वेतन जमा: 45000 रुपये। XYZ COMPANY LTD से,legitimate
कार्रवाई आवश्यक! आपका खाता संकट में है। सुरक्षित करने के लिए क्लिक करें: fakbank.com/secure,phishing
हा दुवा क्लिक करून तुमचा मोबाईल नंबर पुष्टी करा: bit.ly/confirm-fake किंवा सेवा बंद होईल,phishing
Your bank KYC is not updated as per RBI guidelines. Update now: www.rbikyc.fake,fake_kyc
आपका क्रेडिट कार्ड समाप्त हो गया है। विवरण अपडेट करें www.updatecard.fake.com तुरंत,phishing
गूगल वर्षगांठ विजेता! 15 लाख रुपये का पुरस्कार। OTP और CVV के साथ पहचान सत्यापित करें,lottery_scam
लकी विजेता चेतावनी! 10 लाख रुपये का पुरस्कार। दावा करने के लिए 2000 रुपये की प्रसंस्करण शुल्क भेजें,lottery_scam
Congratulations! Rs.50000 Amazon gift voucher won. Claim with card details,lottery_scam
"प्रिय करदाता, 12000 रुपये चा रिफंड मंजूर केला. www.tax-refund.fake वर बँक तपशील सत्यापित करा",tax_scam
कल से E-KYC अनिवार्य। दस्तावेज़ प्रस्तुत करें www.mandate-kyc.fake,fake_kyc
22-जन-24 को आपके खाता XX9012 में 5000 रुपये जमा किए गए हैं। JANE SMITH से IMPS,legitimate
Courier notification: Pay Rs.150 redelivery fee at www.courier-fake.com,delivery_scam
सीमित समय की पेशकश! 10000 रुपये कैशबैक प्राप्त करें। यहां पंजीकरण करें www.freemoney.fake.com,phishing
धोरण उल्लंघनामुळे सेवा बंद केली गेली आहे. www.restore-service.fake वर पुनर्संचयित करा,blocking_threat
DTDC Alert: Parcel stuck. Clear Rs.250 fee at www.dtdc-fake.com for delivery,delivery_scam
Account suspension in 48 hours due to pending KYC. Update at www.urgent-kyc.fake,fake_kyc
Your bank account will be deactivated due to pending verification. Act now!,blocking_threat
आपका क्रेडिट कार्ड समाप्त हो गया है। विवरण अपडेट करें www.updatecard.fake.com तुरंत,phishing
"Dear valued customer, KYC update pending. Click www.customer-kyc.fake to continue services",fake_kyc
"प्रिय मूल्यवान ग्राहक, KYC अपडेट लंबित है। सेवाएं जारी रखने के लिए www.customer-kyc.fake पर क्लिक करें",fake_kyc
20-जन-24 को खाता XX5678 में 1000 रुपये जमा किए गए। JOHN DOE से NEFT। शेष: 15000 रुपये,legitimate
